This file was generated by export.m on 31-May-2016 14:53:10
while on branch 'marius' at commit 5493fd1d0.

inpath: C:\Data\Marius\2015\150423\frame20x_Ph_chipI_chan1-1.5h.BTF
dimensions: 1um = 3.099px (20.0x) and 1sec = 20.0frames.
trackParams:
    maxdisp: 11
        mem: 0
        dim: 2
       good: 10
      quiet: 1

filterPreTrack:
    Area: [24.9699 149.8193]

filterPostTrack:
          length: [30 400]
    displacement: [15.4950 Inf]


======================================================================
x	y	time	index	isturn
1003.5	1341.4	2218	865	0
1002.9	1346.2	2219	865	0
1002.6	1351.6	2220	865	0
1002.5	1353.8	2221	865	1
1002.3	1349.7	2222	865	0
1003.6	1345	2223	865	0
1004.8	1341.3	2224	865	0
1006.6	1336.7	2225	865	0
1006.7	1332.5	2226	865	0
1006.9	1327.7	2227	865	0
1007.1	1324	2228	865	0
1007.5	1321	2229	865	0
1007.1	1318.4	2230	865	0
1007.4	1315.4	2231	865	0
1007.6	1312.8	2232	865	0
1008.6	1309.7	2233	865	0
1009.3	1306	2234	865	0
1009.3	1303	2235	865	0
1008.6	1299.8	2236	865	0
1008.2	1298.7	2237	865	1
1007.4	1298.3	2238	865	1
1010	1300.5	2239	865	0
1012.2	1302.5	2240	865	0
1014.6	1306	2241	865	0
1016.7	1308.2	2242	865	0
1017.9	1310.2	2243	865	1
1017.2	1310	2244	865	0
1015.4	1308.4	2245	865	0
1015	1306.2	2246	865	0
1013.4	1305	2247	865	0
1011.6	1303.7	2248	865	0
1010.2	1303.5	2249	865	0
1008.3	1301.8	2250	865	0
1006.8	1300.4	2251	865	0
1005.5	1298.5	2252	865	0
1003.2	1296.4	2253	865	0
1001.6	1295.3	2254	865	0
1000	1293.5	2255	865	0
998.23	1292.4	2256	865	0
996.97	1291.1	2257	865	0
994.66	1289.6	2258	865	0
992.59	1288.5	2259	865	0
991	1286.5	2260	865	0
988.74	1286.2	2261	865	0
986.79	1285.8	2262	865	0
985.7	1284.8	2263	865	0
983.1	1283	2264	865	0
980	1281	2265	865	0
978.11	1279.3	2266	865	0
975.41	1277.5	2267	865	0
972.03	1276.8	2268	865	0
970.85	1277.3	2269	865	1
970.85	1277.3	2270	865	1
971	1277.5	2271	865	1
970.91	1276.8	2272	865	0
970.65	1276.3	2273	865	0
970	1275.5	2274	865	0
969	1274.5	2275	865	1
968	1273.7	2276	865	1
967.48	1273.9	2277	865	1
969.5	1276	2278	865	0
972.5	1277.8	2279	865	0
976.38	1279.9	2280	865	0
980.77	1281.7	2281	865	0
984.67	1283.8	2282	865	0
989.65	1285.5	2283	865	0
994.45	1287.3	2284	865	0
998.68	1289.9	2285	865	0
1004	1292.1	2286	865	0
1010.2	1296	2287	865	0
1015.5	1299.7	2288	865	0
1020	1303	2289	865	0
1024.8	1306.9	2290	865	0
1029.7	1311.1	2291	865	0
1034.2	1316.1	2292	865	0
1037.6	1321.7	2293	865	0
1041	1327.1	2294	865	0
1044.2	1331.2	2295	865	1
1044.3	1330.3	2296	865	1
1043	1328.3	2297	865	0
1041.9	1326.9	2298	865	0
1040.8	1324.9	2299	865	0
1039.2	1323.1	2300	865	0
1038.4	1320.8	2301	865	0
1037.4	1318.7	2302	865	0
1036.9	1316.3	2303	865	0
1035.8	1315.6	2304	865	0
1035.3	1314.2	2305	865	0
1035.3	1312.9	2306	865	0
1035.5	1311.5	2307	865	0
1035.6	1310.2	2308	865	0
1035	1310	2309	865	0
1034.5	1309.5	2310	865	0
1033	1308.8	2311	865	0
1032.4	1307.8	2312	865	0
1032	1306.5	2313	865	0
1031.6	1305	2314	865	0
1031.1	1302	2315	865	0
1030.5	1300.5	2316	865	0
1028.9	1299.7	2317	865	0
1028.5	1299.1	2318	865	0
1027.9	1298.7	2319	865	1
1028.1	1297.3	2320	865	1
1028.4	1297.3	2321	865	1
1029.4	1300.8	2322	865	0
1030.5	1305	2323	865	0
1032	1309.1	2324	865	0
1032.7	1313	2325	865	0
1032.8	1316.3	2326	865	0
1032.7	1319	2327	865	1
1032.6	1318.1	2328	865	1
1032.8	1318.3	2329	865	0
1031.9	1322.3	2330	865	0
1031.1	1329	2331	865	0
1030.5	1334.5	2332	865	0
1029.5	1338.7	2333	865	0
1028.8	1344.6	2334	865	0
1026.6	1349.5	2335	865	0
1024.7	1353.4	2336	865	0
1023.5	1357.3	2337	865	0
